epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,21512.5,2.7574,2.62509,0.97033,0.02641,0.95892,0.09468,0.0398,2.30117,2.23266,0.94858,0.0057925,0.0057925,0.0057925
87,21765.6,2.75122,2.62157,0.96999,0.02651,0.96031,0.0955,0.04068,2.28157,2.22746,0.94634,0.005743,0.005743,0.005743
88,22014,2.75203,2.61385,0.9695,0.02657,0.96162,0.09556,0.04095,2.26736,2.22488,0.94485,0.0056935,0.0056935,0.0056935
89,22263.4,2.74586,2.60992,0.96864,0.02821,0.95708,0.09627,0.04148,2.2539,2.22168,0.94333,0.005644,0.005644,0.005644
90,22517.6,2.72814,2.59794,0.96682,0.02839,0.95819,0.09723,0.04221,2.23551,2.21506,0.94122,0.0055945,0.0055945,0.0055945
91,22767.8,2.73437,2.60353,0.96826,0.02841,0.95912,0.09732,0.04233,2.22975,2.21356,0.94051,0.005545,0.005545,0.005545
92,23016.2,2.7263,2.60333,0.96784,0.02998,0.95248,0.09766,0.04276,2.22041,2.21197,0.93943,0.0054955,0.0054955,0.0054955
93,23266.5,2.73794,2.6057,0.96861,0.02995,0.95475,0.09814,0.04325,2.20689,2.20853,0.93779,0.005446,0.005446,0.005446
94,23517.7,2.72198,2.59666,0.96648,0.0299,0.95567,0.09824,0.04333,2.1991,2.20734,0.93694,0.0053965,0.0053965,0.0053965
95,23768.7,2.71565,2.59511,0.96604,0.03155,0.94861,0.09898,0.04394,2.18313,2.20201,0.93519,0.005347,0.005347,0.005347
96,24020.5,2.72861,2.60243,0.96718,0.03171,0.95054,0.09989,0.04457,2.16943,2.19658,0.93361,0.0052975,0.0052975,0.0052975
97,24271.3,2.72557,2.60144,0.96728,0.03189,0.95202,0.10048,0.04508,2.15646,2.19217,0.93222,0.005248,0.005248,0.005248
98,24521.8,2.71153,2.58112,0.96362,0.03339,0.94403,0.10071,0.04525,2.14914,2.19,0.93136,0.0051985,0.0051985,0.0051985
99,24774.6,2.70545,2.58966,0.96515,0.0336,0.94534,0.1014,0.04599,2.13013,2.18424,0.92944,0.005149,0.005149,0.005149
100,25027.6,2.70721,2.58803,0.96565,0.03352,0.94765,0.10175,0.04617,2.12591,2.18296,0.92893,0.0050995,0.0050995,0.0050995
101,25279.7,2.71083,2.58681,0.9645,0.03515,0.93853,0.10219,0.04655,2.11648,2.17965,0.92793,0.00505,0.00505,0.00505
102,25532.9,2.70746,2.58753,0.96401,0.03511,0.93934,0.10204,0.04643,2.11612,2.1795,0.92784,0.0050005,0.0050005,0.0050005
103,25784.1,2.69546,2.57755,0.9633,0.03507,0.94008,0.10222,0.0467,2.10777,2.17776,0.92702,0.004951,0.004951,0.004951
